District Code,SchoolCode,FAFSA SchoolName,ERDC SchoolTTL,FAFSA District,ERDC DistrictTTL,Horizons Partner,District,School,Students,Unmatched,Errors,NoSignature,Completed,School District Name,Year,Percent
20405,2330,Columbia High School,Columbia High School (White Salmon Valley),White Salmon Valley School District,White Salmon Valley,ESD 112,White Salmon Valley School District,Columbia High School,72,36,0,0,36,White Salmon Valley School District,2014-15,0.5
05313,3473,Crescent School,Crescent School,Crescent School District,Crescent,West Sound STEM,Crescent School District,Crescent School,10,0,0,0,7,Crescent School District,2017-18,0.667
05313,3473,Crescent School,Crescent School,Crescent School District,Crescent,West Sound STEM,Crescent School District,Crescent School,12,0,0,0,8,Crescent School District,2019-20,0.632
05313,3473,Crescent School,Crescent School,Crescent School District,Crescent,West Sound STEM,Crescent School District,Crescent School,10,0,0,0,4,Crescent School District,2021-22,0.444
05313,3473,Crescent School,Crescent School,Crescent School District,Crescent,West Sound STEM,Crescent School District,Crescent School,10,0,0,0,6,Crescent School District,2016-17,0.6
05313,3473,Crescent School,Crescent School,Crescent School District,Crescent,West Sound STEM,Crescent School District,Crescent School,10,0,0,0,6,Crescent School District,2018-19,0.571
05313,3473,Crescent School,Crescent School,Crescent School District,Crescent,West Sound STEM,Crescent School District,Crescent School,10,0,0,0,4,Crescent School District,2020-21,0.357
05313,3473,Crescent School,Crescent School,Crescent School District,Crescent,West Sound STEM,Crescent School District,Crescent School,0,0,0,0,0,Crescent School District,2014-15,0
05313,3473,Crescent School,Crescent School,Crescent School District,Crescent,West Sound STEM,Crescent School District,Crescent School,13,0,0,0,13,Crescent School District,2022-23,1
05313,3473,Crescent School,Crescent School,Crescent School District,Crescent,West Sound STEM,Crescent School District,Crescent School,0,0,0,0,0,Crescent School District,2015-16,0
16048,5081,Crossroads Community School,Crossroads Alternative High School,Quilcene School District,Quilcene,West Sound STEM,Quilcene School District,Crossroads Community School,10,0,0,0,7,Quilcene School District,2018-19,0.7
16048,5081,Crossroads Community School,Crossroads Alternative High School,Quilcene School District,Quilcene,West Sound STEM,Quilcene School District,Crossroads Community School,10,0,0,0,5,Quilcene School District,2019-20,0.524
16048,5081,Crossroads Community School,Crossroads Alternative High School,Quilcene School District,Quilcene,West Sound STEM,Quilcene School District,Crossroads Community School,10,0,0,0,6,Quilcene School District,2016-17,0.619
16048,5081,Crossroads Community School,Crossroads Alternative High School,Quilcene School District,Quilcene,West Sound STEM,Quilcene School District,Crossroads Community School,10,0,0,0,7,Quilcene School District,2017-18,0.684
